id;Area;Years;Subscribers
1;United States and Canada;Q1 - 2018;60909000
2;Europe,  Middle East and Africa;Q1 - 2018;29339000
3;Latin America;Q1 - 2018;21260000
4;Asia-Pacific;Q1 - 2018;7394000
5;United States and Canada;Q2 - 2018;61870000
6;Europe,  Middle East and Africa;Q2 - 2018;31317000
7;Latin America;Q2 - 2018;22795000
8;Asia-Pacific;Q2 - 2018;8372000
9;United States and Canada;Q3 - 2018;63010000
10;Europe,  Middle East and Africa;Q3 - 2018;33836000
11;Latin America;Q3 - 2018;24115000
12;Asia-Pacific;Q3 - 2018;9461000
13;United States and Canada;Q4 - 2018;64757000
14;Europe,  Middle East and Africa;Q4 - 2018;37818000
15;Latin America;Q4 - 2018;26077000
16;Asia-Pacific;Q4 - 2018;10607000
17;United States and Canada;Q1 - 2019;66633000
18;Europe,  Middle East and Africa;Q1 - 2019;42542000
19;Latin America;Q1 - 2019;27547000
20;Asia-Pacific;Q1 - 2019;12141000
21;United States and Canada;Q2 - 2019;66501000
22;Europe,  Middle East and Africa;Q2 - 2019;44229000
23;Latin America;Q2 - 2019;27890000
24;Asia-Pacific;Q2 - 2019;12942000
25;United States and Canada;Q3 - 2019;67114000
26;Europe,  Middle East and Africa;Q3 - 2019;47355000
27;Latin America;Q3 - 2019;29380000
28;Asia-Pacific;Q3 - 2019;14485000
29;United States and Canada;Q4 - 2019;67662000
30;Europe,  Middle East and Africa;Q4 - 2019;51778000
31;Latin America;Q4 - 2019;31417000
32;Asia-Pacific;Q4 - 2019;16233000
33;United States and Canada;Q1 - 2020;69969000
34;Europe,  Middle East and Africa;Q1 - 2020;58734000
35;Latin America;Q1 - 2020;34318000
36;Asia-Pacific;Q1 - 2020;19835000
37;United States and Canada;Q2 - 2020;72904000
38;Europe,  Middle East and Africa;Q2 - 2020;61483000
39;Latin America;Q2 - 2020;36068000
40;Asia-Pacific;Q2 - 2020;22492000
