id;Titles;Year;Rating;IMDB_Rating;Netflix
1;Breaking Bad;2008;18+;9.5;1
2;Game of Thrones;2011;18+;9.3;0
3;Rick and Morty;2013;18+;9.2;0
4;Dark;2017;16+;8.8;1
5;Stranger Things;2016;16+;8.8;1
6;Avatar: The Last Airbender;2005;7+;9.2;1
7;Sherlock;2010;16+;9.1;1
8;Chernobyl;2019;18+;9.4;0
9;Friends;1994;16+;8.9;0
10;The Office;2005;16+;8.9;1
11;Better Call Saul;2015;18+;8.7;1
12;The Wire;2002;18+;9.3;0
13;Supernatural;2005;16+;8.4;0
14;Fargo;2014;18+;8.9;0
15;Black Mirror;2011;18+;8.8;1
16;Band of Brothers;2001;18+;9.4;0
17;Attack on Titan;2013;16+;8.8;0
18;House;2004;16+;8.7;0
19;Money Heist;2017;18+;8.4;1
20;Peaky Blinders;2013;18+;8.8;1
21;Mr. Robot;2015;18+;8.5;0
22;Vikings;2013;18+;8.5;0
23;The Sopranos;1999;18+;9.2;0
24;The Simpsons;1989;7+;8.7;0
25;The Mandalorian;2019;7+;8.7;0
26;Lost;2004;16+;8.3;0
27;Westworld;2016;18+;8.7;0
28;The Umbrella Academy;2019;16+;8;1
29;Narcos;2015;18+;8.8;1
30;True Detective;2014;18+;9;0
31;Marvel's Daredevil;2015;18+;8.6;1
32;Brooklyn Nine-Nine;2013;16+;8.4;0
33;The Walking Dead;2010;18+;8.2;1
34;Parks and Recreation;2009;16+;8.6;0
35;Mindhunter;2017;18+;8.6;1
36;South Park;1997;18+;8.7;0
37;Suits;2011;16+;8.5;0
38;Hannibal;2013;18+;8.5;1
39;Dexter;2006;18+;8.6;0
40;Community;2009;7+;8.5;0
41;Fringe;2008;16+;8.4;0
42;Modern Family;2009;16+;8.4;0
43;The Big Bang Theory;2007;16+;8.1;0
44;Firefly;2002;16+;9;0
45;Mad Men;2007;16+;8.6;0
46;Fullmetal Alchemist: Brotherhood;2009;18+;9.1;0
47;Ozark;2017;18+;8.4;1
48;The Witcher;2019;18+;8.2;1
49;Lucifer;2016;16+;8.2;1
50;It's Always Sunny in Philadelphia;2005;18+;8.8;0
